Tutorial,Link
SQL,/sql/sql_exercises.asp
Python,/python/python_exercises.asp
Services,javascript:void(0)
jQuery,https://campus.w3schools.com/collections/certifications/products/jquery-certificate
HTML,https://campus.w3schools.com/collections/certifications/products/html-certificate
"Learn
                    Go",/go/index.php
"Learn
                    MySQL",/mysql/default.asp
"Learn
                    JSON",/js/js_json_intro.asp
Accessibility,https://campus.w3schools.com/collections/certifications/products/accessibility-certificate
MySQL,https://campus.w3schools.com/collections/certifications/products/mysql-certificate
C++,/cpp/cpp_exercises.asp
"Learn
                    Sass",/sass/default.php
"Learn
                    MongoDB",/mongodb/index.php
Vue,/vue/vue_exercises.php
"Learn
                    ChatGPT-3.5",/gen_ai/chatgpt-3-5/index.php
C#,https://campus.w3schools.com/collections/certifications/products/c-certificate-1
"Learn
                    Bootstrap",/bootstrap/bootstrap_ver.asp
Get Certified,https://campus.w3schools.com/collections/course-catalog
Web Templates,/w3css/w3css_templates.asp
"Learn
                    C++",/cpp/default.asp
"Learn
                    C#",/cs/index.php
Go,/go/go_exercises.php
"Learn
                    AWS Cloud",/aws/index.php
Web App,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Spaces,/spaces/index.php
Web Statistics,/browsers/default.asp
"Learn
                    Kotlin",/kotlin/index.php
TypeScript,/typescript/typescript_exercises.php
Java,https://campus.w3schools.com/collections/certifications/products/java-certificate
DSA,/dsa/dsa_exercises.php
Java,/java/java_exercises.asp
Spaces,https://spaces.w3schools.com/space/
"Create a Website
                    
                      HOT!",/spaces/index.php
Pandas,/python/pandas/pandas_exercises.asp
What is an Exercise?,/exercises/index.php
"Learn
                    Python",/python/default.asp
Bootstrap 4,https://campus.w3schools.com/collections/certifications/products/bootstrap-4-certificate
"Learn
                    TypeScript",/typescript/index.php
SciPy,/python/scipy/scipy_exercises.php
"Learn
                    Machine Learning",/python/python_ml_getting_started.asp
Front End,https://campus.w3schools.com/collections/certifications/products/front-end-course
CSS,/css/css_exercises.asp
Front End,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Test Your Typing Speed,/typingspeed/default.asp
"Learn
                    How To",/howto/default.asp
PHP,/php/php_exercises.asp
Sign Up,https://profile.w3schools.com/sign-up
Git,/git/git_exercises.asp
Bootstrap 5,/bootstrap5/bootstrap_exercises.php
"Learn
                    ASP",/asp/default.asp
"Learn
                    Pandas",/python/pandas/default.asp
"Learn
                    AngularJS",/angular/default.asp
C,https://campus.w3schools.com/products/c-certification-exam
Bootstrap 4,/bootstrap4/bootstrap_exercises.asp
"Learn
                    PostgreSQL",/postgresql/index.php
R,/r/r_exercises.asp
"Full Access
                    
                      Best Value!",https://campus.w3schools.com/collections/course-catalog/products/w3schools-full-access-course
NumPy,https://campus.w3schools.com/products/numpy-course
"Learn
                    Generative AI",/gen_ai/index.php
Join our Newsletter,https://campus.w3schools.com/pages/newsletter
R,https://campus.w3schools.com/collections/course-catalog/products/r-course
"Learn
                    JavaScript",/js/default.asp
"Learn
                    C",/c/index.php
C,/c/c_exercises.php
DSA,https://campus.w3schools.com/products/dsa-certification-exam
"Learn
                    Google Sheets",/googlesheets/index.php
"Learn
                    Character Sets",/charsets/default.asp
Web Certificates,https://campus.w3schools.com
Code Editor,/tryit/default.asp
MongoDB,/mongodb/mongodb_exercises.php
C++,https://campus.w3schools.com/collections/certifications/products/c-certificate
Web Development,/whatis/default.asp
"Learn
                    SQL",/sql/default.asp
PostgreSQL,/postgresql/postgresql_exercises.php
Python Apps on AWS,https://campus.w3schools.com/collections/course-best-sellers/products/building-modern-python-apps-on-aws
"Learn
                    AppML",/appml/default.asp
Excel,https://campus.w3schools.com/products/excel-certificate
PHP,https://campus.w3schools.com/collections/certifications/products/php-certificate
Plus,/plus/index.php
My W3Schools,https://pathfinder.w3schools.com
JavaScript,/js/js_exercises.asp
Bootstrap 5,https://campus.w3schools.com/collections/certifications/products/bootstrap-5-certificate
"Learn
                    Vue",/vue/index.php
"Learn
                    Graphics",/graphics/default.asp
React,https://campus.w3schools.com/collections/certifications/products/react-js-certificate
CSS,https://campus.w3schools.com/collections/certifications/products/css-certificate
Data Analytics,https://campus.w3schools.com/products/data-analytics-program
XML,https://campus.w3schools.com/collections/certifications/products/xml-certificate
jQuery,/jquery/jquery_exercises.asp
"Learn
                    AJAX",/js/js_ajax_intro.asp
"Learn
                    DSA",/dsa/index.php
"Learn
                    jQuery",/jquery/default.asp
JavaScript,https://campus.w3schools.com/collections/certifications/products/javascript-certificate
Pandas,https://campus.w3schools.com/products/pandas-course
Python,https://campus.w3schools.com/collections/certifications/products/python-certificate
"Learn
                    Google Bard",/gen_ai/bard/index.php
"Learn
                    CSS",/css/default.asp
C#,/cs/cs_exercises.php
"Learn
                    SciPy",/python/scipy/index.php
"Learn
                    RWD",/css/css_rwd_intro.asp
"Learn
                    Excel",/excel/index.php
"Learn
                    XML",/xml/default.asp
"Learn
                    Raspberry Pi",/nodejs/nodejs_raspberrypi.asp
Web Dev.,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
"Learn
                    Matplotlib",/python/matplotlib_intro.asp
"Learn
                    Canvas",/graphics/canvas_intro.asp
"Learn
                    AI",/ai/default.asp
"Create a Server
                    NEW",/spaces/index.php
What is a Certificate?,https://campus.w3schools.com
Vue,https://campus.w3schools.com/products/vue-js-certification-exam
"Learn
                    SVG",/graphics/svg_intro.asp
"Learn
                    React",/react/default.asp
Pandas,https://campus.w3schools.com/products/pandas-certification-exam
Certificates,javascript:void(0)
"Learn
                    ChatGPT-4",/gen_ai/chatgpt-4/index.php
"Learn
                    R",/r/default.asp
Where To Start,/where_to_start.asp
Menu,javascript:void(0)
Bootstrap 3,/bootstrap/bootstrap_exercises.asp
Excel,/excel/excel_exercises.php
"Learn
                    PHP",/php/default.asp
"Learn
                    Data Science",/datascience/default.asp
"Learn
                    Git",/git/default.asp
SQL,https://campus.w3schools.com/collections/certifications/products/sql-certificate
AWS Cloud,/aws/aws_exercises.php
HTML,/html/html_exercises.asp
Accessibility,/accessibility/index.php
"Learn
                    Django",/django/index.php
NumPy,/python/numpy/numpy_exercises.asp
"Learn
                    Statistics",/statistics/index.php
Play a Code Game,/codegame/index.html
What is a Quiz?,/quiztest/default.asp
Django,/django/django_exercises.php
Tutorials,javascript:void(0)
AWS Training,/training/aws/home/
Social Media,https://campus.w3schools.com/collections/course-best-sellers/products/social-media-marketing-course
"Learn
                    HTML",/html/default.asp
"Learn
                    Icons",/icons/default.asp
Bootstrap 3,https://campus.w3schools.com/collections/certifications/products/bootstrap-3-certificate
"Learn
                    W3.JS",/w3js/default.asp
"Learn
                    Colors",/colors/default.asp
"Learn
                    Node.js",/nodejs/default.asp
"Learn
                    NumPy",/python/numpy/default.asp
Cyber Security,https://campus.w3schools.com/collections/certifications/products/cyber-security-certificate
"Learn
                    W3.CSS",/w3css/default.asp
NumPy,https://campus.w3schools.com/products/numpy-certification-exam
Exercises,javascript:void(0)
MySQL,/mysql/mysql_exercises.asp
Kotlin,/kotlin/kotlin_exercises.php
Cyber Security,/cybersecurity/index.php
Django,https://campus.w3schools.com/products/django-certification-exam
Web Design,https://campus.w3schools.com/collections/certifications/products/web-design-certification
React,/react/react_exercises.asp
"Learn
                    Java",/java/default.asp
TypeScript,https://campus.w3schools.com/collections/certifications/products/typescript-certificate
